plateifu,iauname,objra,objdec
10218-12702,J075103.60+175751.0,117.76574,17.96273
10218-12703,J075431.78+164826.2,118.634242089,16.8097293987
10218-12704,J075614.10+170115.9,119.060993252,17.0202860988
10218-12705,J075426.90+161248.9,118.61245,16.2148
10218-1901,J075208.32+175549.0,118.034707037,17.9303045778
10218-1902,J075649.81+172249.2,119.207582307,17.3803033794
10218-3701,J075021.09+171011.4,117.587908107,17.169833722
10218-3702,J075244.27+164234.2,118.184498039,16.7095016652
10218-3703,J075930.87+172929.1,119.87865241,17.4914220335
10218-3704,J075640.51+165512.4,119.168808316,16.9201143063
10218-6101,J075556.24+163927.8,118.98443,16.65766
10218-6102,J075608.66+172250.4,119.036102953,17.3806654122
10218-6103,J075432.98+181941.0,118.637432363,18.3280658072
10218-6104,J075832.71+175436.0,119.63633689,17.9100412893
10218-9101,J075302.03+164127.6,118.25847,16.69089
10218-9102,J075852.26+163150.3,119.717877766,16.530712418
10219-12701,J081913.06+204526.9,124.804460255,20.757476218
10219-12702,J082201.42+212034.3,125.505931857,21.3428752484
10219-12703,J082128.84+230358.8,125.370195868,23.0663574577
10219-12704,J081921.31+215433.9,124.83882348,21.90942806
10219-12705,J082352.09+212501.0,125.967743522,21.4186635506
10219-1901,J082034.49+210619.7,125.14376637,21.1054663161
10219-1902,J082014.96+210336.2,125.062375384,21.0600550691
10219-3701,J082231.46+205804.4,125.631121621,20.967889239
10219-3702,J081938.08+211707.3,124.908695519,21.2853610145
10219-3703,J082235.95+212753.9,125.649814536,21.4649730541
10219-3704,J082342.45+210341.3,125.926883384,21.0614783374
10219-6101,J081954.68+205143.4,124.977875484,20.8620843186
10219-6102,J082035.68+210404.0,125.148697904,21.0677945565
10219-6103,J082026.49+222303.9,125.110457064,22.3843627261
10219-6104,J082114.99+212811.9,125.31674,21.46977
10219-9101,J082020.36+210622.9,125.084933497,21.1064124578
10219-9102,J082121.89+205440.0,125.343919429,20.9105383102
10220-12701,J080123.67+325301.6,120.348598309,32.8838040043
10220-12702,J080157.51+330952.3,120.489596539,33.1645908106
10220-12703,J080431.35+335304.0,121.130860827,33.8845068552
10220-12704,J081009.68+335245.6,122.540399375,33.8793464336
10220-12705,J080212.07+321854.2,120.550320326,32.3150512958
10220-1901,J080313.24+330756.4,120.805213561,33.132338795
10220-1902,J080932.51+314212.6,122.385466938,31.7035152057
10220-3701,J080143.32+314335.7,120.430507904,31.7266384397
10220-3702,J080144.74+315018.0,120.436461244,31.8383638274
10220-3703,J080218.39+323207.8,120.576629639,32.5355033875
10220-3704,J080408.62+312613.0,121.035948116,31.4369848051
10220-6101,J081036.36+311740.6,122.651546118,31.2946412174
10220-6102,J080106.15+321902.4,120.275641039,32.317343842
10220-6103,J080218.21+323607.8,120.576104212,32.602197839
10220-6104,J080652.35+321501.0,121.718144251,32.2503291927
10220-9101,J080318.20+314634.9,120.825871809,31.7763732335
10220-9102,J081206.75+332327.2,123.028099529,33.390861019
10221-12701,J080630.89+234237.6,121.62879509,23.7105033609
10221-12702,J081407.28+234242.8,123.530409854,23.7119154499
10221-12703,J081613.72+250434.3,124.05695,25.076
10221-12704,J081644.00+232212.0,124.18847,23.36659
10221-12705,J081626.30+230833.1,124.109635921,23.1425158913
10221-1901,-9999,122.818541667,25.1798333333
10221-1902,J081313.55+243629.2,123.30674,24.60798
10221-3701,J081450.20+240010.5,123.70918848,24.002949613
10221-3702,J081005.92+251719.7,122.524674366,25.2888191999
10221-3703,J081021.41+250720.2,122.589216544,25.1222973718
10221-3704,J081435.36+250410.3,123.647377495,25.0695082117
10221-6101,J081303.68+243330.0,123.265271707,24.5581555942
10221-6102,J081223.52+240657.4,123.098008176,24.1159781368
10221-6103,J081325.80+250737.0,123.357514813,25.1269822349
10221-6104,J081847.58+243214.7,124.698297548,24.5374298193
10221-9101,J080710.28+242321.2,121.792855792,24.3892414957
10221-9102,J081753.49+232819.9,124.47296256,23.4721789379
10222-12701,J025223.39-083037.4,43.0975056849,-8.51039014523
10222-12702,J025546.52-082431.6,43.943883293,-8.40880774285
10222-12703,J025758.27-064154.0,44.4928741137,-6.69840791282
10222-12704,J025238.88-071857.3,43.1620244157,-7.3159057948
10222-12705,J030025.27-081634.5,45.1052926568,-8.27625811308
10222-1901,J025858.98-071801.2,44.7458039287,-7.30034111862
10222-1902,J030027.72-071801.9,45.1155381689,-7.30055506089
10222-3701,J025324.48-085243.6,43.3520007983,-8.87881317257
10222-3702,J025213.22-064553.6,43.0551098121,-6.76488596809
10222-3703,J025405.27-072042.2,43.5219976469,-7.34507071933
10222-3704,J025810.28-085719.2,44.5428346492,-8.95538297428
10222-6101,J024918.29-081029.9,42.326160518,-8.17494454345
10222-6102,J025012.95-080950.3,42.5538455207,-8.16393221643
10222-6103,J025156.37-082237.3,42.9848765783,-8.37704983026
10222-6104,J025251.59-075817.9,43.2150088708,-7.97165223202
10222-9101,J025311.28-073156.9,43.297016234,-7.53251485588
10222-9102,J025634.75-070711.0,44.1449456196,-7.11981395605
10223-12701,J020716.07-010045.2,31.81709,-1.01273
10223-12702,J020932.72-005959.7,32.3864687333,-0.999897937983
10223-12703,J021118.04-005850.6,32.8251959509,-0.980760023024
10223-12704,J021255.55-002801.4,33.2316,-0.46726
10223-12705,J021253.54-005430.5,33.2231013087,-0.908470876896
10223-1901,J020546.37+003733.8,31.4432289025,0.626055926871
10223-1902,J021401.83-005838.8,33.5076729586,-0.977438774843
10223-3701,J020615.98-001729.2,31.5666031749,-0.291437101791
10223-3702,J021405.91-001637.1,33.5246434178,-0.276961112728
